feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,category,target
-2.006898428,1.296063062,0.29587347,-1.107156817,1.923564934,-1.953519796,-0.793113284,0.218922292,low,1
1.350813533,0.782873735,-2.779315267,-0.43112557,-1.227050303,1.094407812,-2.0285378,3.625784503,high,0
-2.78032876,-0.397195316,-1.188323531,-1.10226974,3.274194479,-2.415978526,-3.486224198,3.555780257,low,1
-0.559602416,1.249504901,0.83741732,-1.332777397,2.921107339,-1.263290617,0.937946436,-2.431535021,mid,1
-1.668834617,-1.395789202,0.434186627,0.591349242,1.717332825,-2.183968123,-2.868666833,1.754775925,mid,1
-0.687156901,0.714609791,2.002261061,-2.049941279,1.179013642,-0.588656373,-2.631501701,1.113710384,mid,0
1.5531215,-1.280455571,0.975861477,0.189479821,0.468533649,0.700648935,1.139267202,-2.306256697,high,1
1.898953824,-2.084112939,1.349283167,1.72469665,1.550932818,1.379882829,-0.904157676,-0.611952375,high,0
-0.204870713,-0.450012858,1.193394224,1.257149217,1.505155713,0.373314318,-1.463615016,0.74105046,mid,0
-1.330414509,-1.371673697,1.606720065,-0.709441002,-0.74009781,0.511358816,-3.891256754,4.066797006,mid,0
3.130225319,0.234024454,0.206284487,-0.248528618,-0.245208159,3.742757917,-0.084097427,0.397516008,high,0
-1.088847201,1.669069526,0.272114402,-0.942558006,0.498909657,-0.35042601,-3.109393725,3.144717588,mid,1
0.710958314,-0.361462767,1.153085566,0.416446038,-0.90818227,1.160637859,1.366964235,-1.487642519,mid,1
2.207509203,0.458168115,0.528777034,-0.979721225,-2.179839435,1.025905595,1.436129015,-1.997670156,high,1
-1.349555577,-0.457848386,0.436201659,-0.159362232,2.108990851,-0.959201331,-1.294643697,0.787539723,mid,1
-3.171968493,0.224339657,-0.129978046,0.904017555,1.137223079,1.884411092,-2.925429954,5.915217283,low,0
-0.302464115,0.049308332,2.032331051,0.768839676,-1.06673701,0.629842597,-0.168975141,-0.212925164,mid,1
4.369229417,-1.909356088,1.028228848,1.318302325,3.392675873,1.698921397,1.364036679,-4.346263691,high,0
2.233780291,-1.103669829,0.439470372,-0.330789224,-1.93726787,0.592498464,2.214348179,-3.026464121,high,1
2.808665076,-0.002403841,1.042261899,-0.589271652,-0.762539611,0.481931444,1.400865573,-3.30985963,high,1
-1.791419298,1.920367502,-0.865311552,-1.22289502,1.241253783,1.361010797,-1.688585064,3.915048589,mid,0
-0.264548362,0.949594571,2.697231835,-0.059415181,-0.927876275,0.203323956,0.256709623,-1.338449625,mid,1
-0.466995362,-0.140375059,-1.577178146,0.307612668,0.448662178,0.289643596,-0.423053346,1.735207983,mid,0
3.019119782,0.252568846,-0.123018626,1.384532048,-1.522567418,0.053325527,2.467957975,-3.887270274,high,1
-0.96831676,1.116833776,2.628926284,0.18641617,-1.22196679,-0.884296167,-1.434814178,0.101446679,mid,1
-2.201690944,-0.297482201,-1.435221248,1.311983739,1.345395171,0.589471086,-0.628677031,3.000078298,low,0
0.90921967,0.861636124,1.207332734,0.139060399,-2.328712658,1.466561342,1.312472194,-1.108525739,mid,1
0.00862347,0.511499575,-0.718980926,1.93515404,0.488673024,2.134578944,0.06405259,1.657717804,mid,0
-0.027311806,0.975312458,-0.02437938,0.515628088,-2.654943661,1.699476267,1.705652042,0.08632557,mid,1
2.664427865,-1.207021648,2.156977677,-1.075312393,0.842549149,0.692179272,0.349152741,-3.076279396,high,1
1.454402452,0.317453261,0.21793064,-0.332860404,0.601368552,1.988130683,-0.343462837,0.415467749,high,0
-0.051691522,0.242882013,2.104299349,-2.082098703,-0.081626441,0.470211112,-0.4407765,-0.471181989,mid,1
-0.728437592,-1.49901596,0.632848475,-0.091844764,1.518504201,-1.089068499,-0.980057333,0.002364895,mid,1
1.113379184,-0.72960247,1.923652549,0.361417317,1.694366303,0.388002201,-1.761079028,-0.308472293,mid,0
-0.873664423,0.978889559,2.463071366,-1.371743129,-0.264381524,-0.726254969,-1.745446726,0.336783294,mid,1
